centile,observations,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
0.5,949,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,895,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,942,1234.0499148269555,5944.478375622286,1577.8052275203115,487525.3729726481
0.5,967,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,885,1234.0499148269555,5944.478375622286,1577.8052275203115,487525.3729726481
0.5,934,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,719,1704.757489793427,8754.865260100953,1888.768319523363,504630.38071722223
0.5,909,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,891,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,985,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,704,1005.5334875648232,8022.52873262458,1563.3288261114144,440815.14271888026
0.5,892,1234.0499148269555,5944.478375622286,1577.8052275203115,487525.3729726481
0.5,902,1234.0499148269555,5944.478375622286,1577.8052275203115,487525.3729726481
0.5,978,1234.0499148269555,5944.478375622286,1577.8052275203115,487525.3729726481
0.5,712,1825.7626905424804,8033.658208662194,1521.8827068457617,416894.2738947135
0.5,937,1460.7857988479775,7064.632299459897,1843.9422595044148,552306.8239200743
0.5,723,861.6255462235929,8508.156624473153,1547.0573015021157,435109.591398861
0.5,924,1460.7857988479775,7064.632299459897,1843.9422595044148,552306.8239200743
0.5,900,1460.7857988479775,7064.632299459897,1843.9422595044148,552306.8239200743
0.5,722,1697.6088323241906,7765.1998255002145,1639.017870049692,415899.0927553181
0.5,923,1460.7857988479775,7064.632299459897,1843.9422595044148,552306.8239200743
